id,heater_type_id,serial_number,created_at,updated_at,heater_status_id,status_reason,is_active,current_client_id
463,1,Heater,2021-12-04 18:11:56.342703,2022-10-22 16:29:22.504185,1,,t,0
435,1,Heater,2021-09-02 16:30:48.14643,2022-10-22 16:29:24.274809,1,,t,0
441,1,Heater,2021-12-04 16:39:52.181532,2022-10-22 16:29:25.123194,1,,t,0
442,1,Heater,2021-12-04 16:40:04.331157,2022-10-22 16:29:25.887247,1,,t,0
449,1,Heater,2021-12-04 16:58:21.876445,2022-10-22 16:29:26.688685,1,,t,0
419,1,Heater,2020-12-26 15:15:44.39487,2022-10-22 16:29:28.656289,1,,t,0
421,1,Heater,2021-01-02 15:55:31.105244,2022-10-22 16:29:30.177277,1,,t,0
424,1,Heater,2021-01-16 15:02:36.016003,2022-10-22 16:29:31.193454,1,,t,0
425,1,Heater,2021-01-16 15:12:18.86883,2022-10-22 16:29:32.049871,1,,t,0
428,1,Heater,2021-01-16 15:50:30.751713,2022-10-22 16:29:32.741719,1,,t,0
440,1,Heater,2021-12-04 16:39:19.660604,2022-10-22 16:29:33.878507,1,,t,0
407,1,Heater,2020-12-12 16:36:59.805945,2022-10-22 16:29:36.211898,1,,t,0
410,1,Heater,2020-12-19 14:28:50.169322,2022-10-22 16:29:37.163432,1,,t,0
409,1,Heater,2020-12-12 16:52:13.031099,2022-10-22 16:29:36.927952,1,,t,0
412,1,Heater,2020-12-19 15:10:42.588015,2022-10-22 16:29:37.770193,1,,t,0
413,1,Heater,2020-12-19 16:36:08.832438,2022-10-22 16:29:38.38816,1,,t,0
414,1,Heater,2020-12-24 22:14:57.022976,2022-10-22 16:29:38.808053,1,,t,0
415,1,Heater,2020-12-26 14:12:13.526189,2022-10-22 16:29:39.169828,1,,t,0
391,1,Heater,2020-12-12 15:17:09.052953,2022-10-22 16:29:41.229837,1,,t,0
392,1,Heater,2020-12-12 15:17:10.103724,2022-10-22 16:29:41.688201,1,,t,0
395,1,Heater,2020-12-12 15:36:34.570366,2022-10-22 16:29:42.093314,1,,t,0
401,1,Heater,2020-12-12 16:00:39.248658,2022-10-22 16:29:42.443514,1,,t,0
403,1,Heater,2020-12-12 16:21:26.521424,2022-10-22 16:29:42.836006,1,,t,0
490,1,Heater,2022-02-19 15:07:42.504501,2022-10-22 16:28:59.186079,1,,t,0
491,1,Heater,2022-02-19 15:07:43.058221,2022-10-22 16:29:00.004979,1,,t,0
492,1,Heater,2022-02-19 15:07:43.143026,2022-10-22 16:29:00.366342,1,,t,0
498,1,Heater,2022-02-23 16:51:26.847379,2022-10-22 16:29:01.910852,1,,t,0
501,1,Heater,2022-02-23 21:25:20.758939,2022-10-22 16:29:02.87247,1,,t,0
502,1,Heater,2022-02-24 19:46:31.43373,2022-10-22 16:29:03.932929,1,,t,0
499,1,Heater,2022-02-23 16:57:01.294303,2022-10-22 16:29:04.334068,1,,t,0
420,1,Heater,2020-12-26 15:35:02.797993,2022-10-22 16:29:29.506821,1,,t,0
510,1,Heater,2022-02-26 16:17:12.892057,2022-09-16 15:52:31.861464,3,,t,1087
212,1,818,2019-12-04 04:06:37.18493,2022-10-22 16:27:30.250434,1,,t,0
288,1,894,2019-12-04 04:26:10.246452,2022-10-22 16:27:55.022039,1,,t,0
526,1,Heater,2022-03-08 21:54:46.306499,2022-10-22 16:28:49.472641,1,,t,0
520,1,Heater,2022-02-26 16:20:26.75982,2022-10-22 16:28:49.973933,1,,t,0
518,1,Heater,2022-02-26 16:19:58.060747,2022-10-22 16:28:50.386522,1,,t,0
517,1,Heater,2022-02-26 16:19:50.65392,2022-10-22 16:28:50.826896,1,,t,0
515,1,Heater,2022-02-26 16:19:16.605106,2022-10-22 16:28:51.229892,1,,t,0
504,1,Heater,2022-02-24 20:38:42.489176,2022-10-22 16:28:52.73566,1,,t,0
534,1,Heater,2022-11-16 15:31:22.630384,2024-10-24 15:52:02.736297,1,,t,0
538,1,Heater,2022-12-03 15:49:08.103363,2024-10-24 15:52:04.511854,1,,t,0
539,1,Heater,2022-12-03 15:51:16.531003,2024-10-24 15:52:04.151282,1,,t,0
547,1,Heater,2022-12-03 16:37:54.605619,2024-10-24 15:52:05.423143,1,,t,0
540,1,Heater,2022-12-03 16:30:54.878221,2024-10-24 15:52:17.827849,1,,t,0
508,1,Heater,2022-02-26 16:16:02.084289,2022-10-22 16:28:53.210278,1,,t,0
511,1,Heater,2022-02-26 16:17:52.076518,2022-10-22 16:28:53.754296,1,,t,0
512,1,Heater,2022-02-26 16:17:59.491864,2022-10-22 16:28:54.139215,1,,t,0
513,1,Heater,2022-02-26 16:18:29.117274,2022-10-22 16:28:54.987619,1,,t,0
507,1,Heater,2022-02-26 16:14:09.10641,2022-10-22 16:28:55.706766,1,,t,0
489,1,Heater,2022-02-19 15:07:09.790601,2022-10-22 16:28:58.620937,1,,t,0
1603,1,Heater,2025-03-01 14:44:31.46184,2025-03-01 14:44:31.856977,2,,t,1647
549,1,Heater,2022-12-03 16:48:48.981533,2024-10-24 15:52:20.246604,1,,t,0
552,1,Heater,2022-12-03 17:11:30.591822,2024-10-24 15:52:22.434786,1,,t,0
558,1,Heater,2022-12-03 17:41:48.74286,2024-10-24 15:52:23.81999,1,,t,0
568,1,Heater,2022-12-03 18:20:08.392345,2024-10-24 15:52:29.669538,1,,t,0
